Date,Regime
2019-12-22,Steady Growth
2019-12-29,Steady Growth
2020-01-05,Mild Bearish
2020-01-12,Steady Growth
2020-01-19,Steady Growth
2020-01-26,Steady Growth
2020-02-02,Steady Growth
2020-02-09,Mild Bearish
2020-02-16,Steady Growth
2020-02-23,Steady Growth
2020-03-01,Strong Bearish
2020-03-08,Strong Bearish
2020-03-15,Strong Bearish
2020-03-22,Strong Bullish
2020-03-29,Strong Bullish
2020-04-05,Strong Bullish
2020-04-12,Strong Bullish
2020-04-19,Strong Bullish
2020-04-26,Strong Bullish
2020-05-03,Strong Bullish
2020-05-10,Strong Bullish
2020-05-17,Strong Bullish
2020-05-24,Strong Bullish
2020-05-31,Steady Growth
2020-06-07,Steady Growth
2020-06-14,Steady Growth
2020-06-21,Mild Bearish
2020-06-28,Mild Bearish
2020-07-05,Mild Bearish
2020-07-12,Strong Bullish
2020-07-19,Strong Bullish
2020-07-26,Steady Growth
2020-08-02,Mild Bearish
2020-08-09,Mild Bearish
2020-08-16,Mild Bearish
2020-08-23,Steady Growth
2020-08-30,Steady Growth
2020-09-06,Steady Growth
2020-09-13,Mild Bearish
2020-09-20,Strong Bearish
2020-09-27,Strong Bearish
2020-10-04,Mild Bearish
2020-10-11,Mild Bearish
2020-10-18,Steady Growth
2020-10-25,Steady Growth
2020-11-01,Steady Growth
2020-11-08,Strong Bullish
2020-11-15,Strong Bullish
2020-11-22,Strong Bullish
2020-11-29,Strong Bullish
2020-12-06,Steady Growth
2020-12-13,Steady Growth
2020-12-20,Mild Bearish
2020-12-27,Strong Bearish
2021-01-03,Mild Bearish
2021-01-10,Mild Bearish
2021-01-17,Mild Bearish
2021-01-24,Strong Bullish
2021-01-31,Strong Bullish
2021-02-07,Strong Bullish
2021-02-14,Strong Bullish
2021-02-21,Strong Bullish
2021-02-28,Strong Bullish
2021-03-07,Mild Bearish
2021-03-14,Mild Bearish
2021-03-21,Mild Bearish
2021-03-28,Mild Bearish
2021-04-04,Mild Bearish
2021-04-11,Steady Growth
2021-04-18,Steady Growth
2021-04-25,Steady Growth
2021-05-02,Steady Growth
2021-05-09,Steady Growth
2021-05-16,Mild Bearish
2021-05-23,Mild Bearish
2021-05-30,Steady Growth
2021-06-06,Steady Growth
2021-06-13,Steady Growth
2021-06-20,Steady Growth
2021-06-27,Steady Growth
2021-07-04,Steady Growth
2021-07-11,Steady Growth
2021-07-18,Steady Growth
2021-07-25,Steady Growth
2021-08-01,Steady Growth
2021-08-08,Steady Growth
2021-08-15,Steady Growth
2021-08-22,Steady Growth
2021-08-29,Steady Growth
2021-09-05,Steady Growth
2021-09-12,Steady Growth
2021-09-19,Steady Growth
2021-09-26,Mild Bearish
2021-10-03,Strong Bearish
2021-10-10,Mild Bearish
2021-10-17,Mild Bearish
2021-10-24,Steady Growth
2021-10-31,Strong Bullish
2021-11-07,Strong Bullish
2021-11-14,Strong Bullish
2021-11-21,Strong Bullish
2021-11-28,Mild Bearish
2021-12-05,Mild Bearish
2021-12-12,Mild Bearish
2021-12-19,Mild Bearish
2021-12-26,Mild Bearish
2022-01-02,Mild Bearish
2022-01-09,Strong Bearish
2022-01-16,Mild Bearish
2022-01-23,Strong Bearish
2022-01-30,Strong Bearish
2022-02-06,Strong Bullish
2022-02-13,Strong Bullish
2022-02-20,Strong Bullish
2022-02-27,Mild Bearish
2022-03-06,Mild Bearish
2022-03-13,Mild Bearish
2022-03-20,Mild Bearish
2022-03-27,Strong Bullish
