Date,Regime
2007-03-11,Mild Bearish
2007-03-18,Strong Bearish
2007-03-25,Mild Bearish
2007-04-01,Steady Growth
2007-04-08,Steady Growth
2007-04-15,Steady Growth
2007-04-22,Steady Growth
2007-04-29,Steady Growth
2007-05-06,Mild Bearish
2007-05-13,Mild Bearish
2007-05-20,Mild Bearish
2007-05-27,Mild Bearish
2007-06-03,Steady Growth
2007-06-10,Steady Growth
2007-06-17,Steady Growth
2007-06-24,Steady Growth
2007-07-01,Steady Growth
2007-07-08,Steady Growth
2007-07-15,Steady Growth
2007-07-22,Steady Growth
2007-07-29,Strong Bearish
2007-08-05,Strong Bearish
2007-08-12,Mild Bearish
2007-08-19,Mild Bearish
2007-08-26,Mild Bearish
2007-09-02,Mild Bearish
2007-09-09,Steady Growth
2007-09-16,Steady Growth
2007-09-23,Steady Growth
2007-09-30,Steady Growth
2007-10-07,Steady Growth
2007-10-14,Steady Growth
2007-10-21,Steady Growth
2007-10-28,Steady Growth
2007-11-04,Steady Growth
2007-11-11,Steady Growth
2007-11-18,Strong Bearish
2007-11-25,Strong Bearish
2007-12-02,Strong Bullish
2007-12-09,Strong Bullish
2007-12-16,Steady Growth
2007-12-23,Mild Bearish
2007-12-30,Mild Bearish
2008-01-06,Mild Bearish
2008-01-13,Strong Bearish
2008-01-20,Strong Bearish
2008-01-27,Strong Bearish
2008-02-03,Strong Bearish
2008-02-10,Strong Bearish
2008-02-17,Strong Bearish
2008-02-24,Strong Bearish
2008-03-02,Strong Bearish
2008-03-09,Strong Bearish
2008-03-16,Strong Bearish
2008-03-23,Strong Bearish
2008-03-30,Strong Bullish
2008-04-06,Strong Bullish
2008-04-13,Strong Bullish
2008-04-20,Strong Bullish
2008-04-27,Strong Bullish
2008-05-04,Strong Bullish
2008-05-11,Strong Bullish
2008-05-18,High Volatility
2008-05-25,Strong Bearish
2008-06-01,Strong Bullish
2008-06-08,Mild Bearish
2008-06-15,Mild Bearish
2008-06-22,Strong Bearish
2008-06-29,Strong Bearish
2008-07-06,Strong Bearish
2008-07-13,Mild Bearish
2008-07-20,Strong Bearish
2008-07-27,Strong Bearish
2008-08-03,Strong Bearish
2008-08-10,Strong Bearish
2008-08-17,Strong Bullish
2008-08-24,Strong Bullish
2008-08-31,Mild Bearish
2008-09-07,Strong Bearish
2008-09-14,Strong Bearish
2008-09-21,Strong Bearish
2008-09-28,Strong Bullish
2008-10-05,High Volatility
2008-10-12,High Volatility
2008-10-19,High Volatility
2008-10-26,High Volatility
2008-11-02,High Volatility
2008-11-09,High Volatility
2008-11-16,High Volatility
2008-11-23,High Volatility
2008-11-30,High Volatility
2008-12-07,High Volatility
2008-12-14,High Volatility
2008-12-21,Strong Bullish
2008-12-28,High Volatility
2009-01-04,Strong Bullish
2009-01-11,Strong Bullish
2009-01-18,Strong Bullish
2009-01-25,Strong Bullish
2009-02-01,Strong Bullish
2009-02-08,Strong Bullish
2009-02-15,Strong Bullish
2009-02-22,Strong Bullish
2009-03-01,Strong Bearish
2009-03-08,Strong Bearish
2009-03-15,Strong Bearish
2009-03-22,Strong Bullish
2009-03-29,Strong Bullish
2009-04-05,Strong Bullish
2009-04-12,Strong Bullish
2009-04-19,Strong Bullish
2009-04-26,Strong Bullish
2009-05-03,Steady Growth
2009-05-10,Steady Growth
2009-05-17,Mild Bearish
2009-05-24,Mild Bearish
2009-05-31,Mild Bearish
2009-06-07,Steady Growth
2009-06-14,Steady Growth
2009-06-21,Mild Bearish
2009-06-28,Strong Bearish
2009-07-05,Mild Bearish
2009-07-12,Mild Bearish
2009-07-19,Steady Growth
2009-07-26,Mild Bearish
2009-08-02,Steady Growth
2009-08-09,Steady Growth
2009-08-16,Steady Growth
2009-08-23,Steady Growth
2009-08-30,Steady Growth
2009-09-06,Mild Bearish
2009-09-13,Steady Growth
2009-09-20,Steady Growth
2009-09-27,Steady Growth
2009-10-04,Steady Growth
2009-10-11,Steady Growth
2009-10-18,Steady Growth
2009-10-25,Steady Growth
2009-11-01,Steady Growth
2009-11-08,Mild Bearish
2009-11-15,Steady Growth
2009-11-22,Steady Growth
2009-11-29,Steady Growth
2009-12-06,Steady Growth
2009-12-13,Steady Growth
2009-12-20,Steady Growth
2009-12-27,Steady Growth
2010-01-03,Steady Growth
2010-01-10,Steady Growth
2010-01-17,Mild Bearish
2010-01-24,Strong Bearish
2010-01-31,Strong Bearish
2010-02-07,Strong Bearish
2010-02-14,Strong Bearish
2010-02-21,Mild Bearish
2010-02-28,Mild Bearish
2010-03-07,Steady Growth
2010-03-14,Steady Growth
2010-03-21,Steady Growth
2010-03-28,Mild Bearish
2010-04-04,Mild Bearish
2010-04-11,Mild Bearish
2010-04-18,Steady Growth
2010-04-25,Mild Bearish
2010-05-02,Strong Bearish
2010-05-09,Strong Bearish
2010-05-16,Strong Bearish
2010-05-23,Strong Bearish
2010-05-30,Strong Bearish
2010-06-06,Strong Bullish
2010-06-13,Strong Bearish
2010-06-20,Strong Bullish
2010-06-27,Mild Bearish
2010-07-04,Strong Bearish
2010-07-11,Strong Bearish
2010-07-18,Strong Bullish
2010-07-25,Strong Bullish
2010-08-01,Strong Bullish
2010-08-08,Strong Bullish
2010-08-15,Strong Bullish
2010-08-22,Mild Bearish
2010-08-29,Strong Bearish
2010-09-05,Strong Bearish
2010-09-12,Mild Bearish
2010-09-19,Steady Growth
2010-09-26,Steady Growth
2010-10-03,Steady Growth
2010-10-10,Steady Growth
2010-10-17,Steady Growth
2010-10-24,Strong Bullish
2010-10-31,Strong Bullish
2010-11-07,Strong Bullish
2010-11-14,Strong Bullish
2010-11-21,Strong Bearish
2010-11-28,Strong Bearish
2010-12-05,Strong Bearish
2010-12-12,Mild Bearish
2010-12-19,Mild Bearish
2010-12-26,Steady Growth
2011-01-02,Steady Growth
2011-01-09,Steady Growth
2011-01-16,Steady Growth
2011-01-23,Steady Growth
2011-01-30,Mild Bearish
2011-02-06,Mild Bearish
2011-02-13,Mild Bearish
2011-02-20,Steady Growth
2011-02-27,Mild Bearish
2011-03-06,Strong Bearish
2011-03-13,Strong Bearish
2011-03-20,Strong Bearish
2011-03-27,Strong Bearish
2011-04-03,Mild Bearish
2011-04-10,Steady Growth
2011-04-17,Mild Bearish
2011-04-24,Strong Bearish
2011-05-01,Strong Bearish
2011-05-08,Strong Bearish
2011-05-15,Strong Bullish
2011-05-22,Mild Bearish
2011-05-29,Strong Bearish
2011-06-05,Mild Bearish
2011-06-12,Strong Bearish
2011-06-19,Strong Bearish
2011-06-26,Strong Bearish
2011-07-03,Mild Bearish
2011-07-10,Steady Growth
2011-07-17,Steady Growth
2011-07-24,Strong Bullish
2011-07-31,Strong Bullish
2011-08-07,Strong Bullish
2011-08-14,High Volatility
2011-08-21,Strong Bearish
2011-08-28,Strong Bearish
2011-09-04,Strong Bearish
2011-09-11,Strong Bullish
2011-09-18,Strong Bullish
2011-09-25,Mild Bearish
2011-10-02,Mild Bearish
2011-10-09,Strong Bearish
2011-10-16,Strong Bullish
2011-10-23,Strong Bullish
2011-10-30,Steady Growth
2011-11-06,Strong Bullish
2011-11-13,Strong Bullish
2011-11-20,Steady Growth
2011-11-27,Mild Bearish
2011-12-04,Mild Bearish
2011-12-11,Strong Bullish
2011-12-18,Steady Growth
2011-12-25,Steady Growth
2012-01-01,Steady Growth
2012-01-08,Steady Growth
2012-01-15,Mild Bearish
2012-01-22,Mild Bearish
2012-01-29,Strong Bearish
2012-02-05,Strong Bearish
2012-02-12,Strong Bullish
2012-02-19,Steady Growth
2012-02-26,Steady Growth
2012-03-04,Steady Growth
2012-03-11,Mild Bearish
2012-03-18,Steady Growth
2012-03-25,Steady Growth
2012-04-01,Steady Growth
2012-04-08,Steady Growth
2012-04-15,Mild Bearish
2012-04-22,Strong Bearish
2012-04-29,Strong Bearish
2012-05-06,Mild Bearish
2012-05-13,Mild Bearish
2012-05-20,Mild Bearish
2012-05-27,Mild Bearish
2012-06-03,Mild Bearish
2012-06-10,Strong Bearish
2012-06-17,Strong Bearish
2012-06-24,Mild Bearish
2012-07-01,Mild Bearish
2012-07-08,Steady Growth
2012-07-15,Mild Bearish
2012-07-22,Steady Growth
2012-07-29,Steady Growth
2012-08-05,Steady Growth
2012-08-12,Steady Growth
2012-08-19,Steady Growth
2012-08-26,Steady Growth
2012-09-02,Steady Growth
2012-09-09,Steady Growth
2012-09-16,Steady Growth
2012-09-23,Steady Growth
2012-09-30,Steady Growth
2012-10-07,Steady Growth
2012-10-14,Steady Growth
2012-10-21,Mild Bearish
2012-10-28,Strong Bearish
2012-11-04,Strong Bearish
2012-11-11,Strong Bearish
2012-11-18,Strong Bearish
2012-11-25,Mild Bearish
2012-12-02,Steady Growth
2012-12-09,Steady Growth
2012-12-16,Steady Growth
2012-12-23,Steady Growth
2012-12-30,Steady Growth
2013-01-06,Steady Growth
2013-01-13,Steady Growth
2013-01-20,Mild Bearish
2013-01-27,Steady Growth
2013-02-03,Steady Growth
2013-02-10,Steady Growth
2013-02-17,Steady Growth
2013-02-24,Steady Growth
2013-03-03,Steady Growth
2013-03-10,Steady Growth
2013-03-17,Steady Growth
2013-03-24,Steady Growth
2013-03-31,Strong Bearish
2013-04-07,Strong Bearish
2013-04-14,Strong Bearish
2013-04-21,Mild Bearish
2013-04-28,Steady Growth
2013-05-05,Steady Growth
2013-05-12,Steady Growth
2013-05-19,Steady Growth
2013-05-26,Steady Growth
2013-06-02,Mild Bearish
2013-06-09,Strong Bearish
2013-06-16,Mild Bearish
2013-06-23,Steady Growth
2013-06-30,Mild Bearish
2013-07-07,Mild Bearish
2013-07-14,Steady Growth
2013-07-21,Steady Growth
2013-07-28,Steady Growth
2013-08-04,Mild Bearish
2013-08-11,Mild Bearish
2013-08-18,Strong Bearish
2013-08-25,Strong Bearish
2013-09-01,Strong Bearish
2013-09-08,Mild Bearish
2013-09-15,Steady Growth
2013-09-22,Steady Growth
2013-09-29,Mild Bearish
2013-10-06,Mild Bearish
2013-10-13,Strong Bearish
2013-10-20,Mild Bearish
2013-10-27,Strong Bullish
2013-11-03,Strong Bullish
2013-11-10,Strong Bullish
2013-11-17,Strong Bullish
2013-11-24,Mild Bearish
2013-12-01,Steady Growth
2013-12-08,Steady Growth
2013-12-15,Steady Growth
2013-12-22,Steady Growth
2013-12-29,Steady Growth
2014-01-05,Steady Growth
2014-01-12,Steady Growth
2014-01-19,Steady Growth
2014-01-26,Steady Growth
2014-02-02,Mild Bearish
2014-02-09,Mild Bearish
2014-02-16,Strong Bullish
2014-02-23,Steady Growth
2014-03-02,Steady Growth
2014-03-09,Steady Growth
2014-03-16,Mild Bearish
2014-03-23,Mild Bearish
2014-03-30,Strong Bearish
2014-04-06,Strong Bearish
2014-04-13,Strong Bearish
2014-04-20,Strong Bearish
2014-04-27,Strong Bearish
2014-05-04,Strong Bearish
2014-05-11,Strong Bearish
2014-05-18,Mild Bearish
2014-05-25,Steady Growth
2014-06-01,Steady Growth
2014-06-08,Steady Growth
2014-06-15,Steady Growth
2014-06-22,Mild Bearish
2014-06-29,Steady Growth
2014-07-06,Steady Growth
2014-07-13,Steady Growth
2014-07-20,Steady Growth
2014-07-27,Steady Growth
2014-08-03,Steady Growth
2014-08-10,Mild Bearish
2014-08-17,Mild Bearish
2014-08-24,Steady Growth
2014-08-31,Steady Growth
2014-09-07,Steady Growth
2014-09-14,Mild Bearish
2014-09-21,Steady Growth
2014-09-28,Mild Bearish
2014-10-05,Mild Bearish
2014-10-12,Strong Bearish
2014-10-19,Strong Bearish
2014-10-26,Strong Bearish
2014-11-02,Mild Bearish
2014-11-09,Steady Growth
2014-11-16,Steady Growth
2014-11-23,Strong Bearish
2014-11-30,Mild Bearish
2014-12-07,Strong Bearish
2014-12-14,Strong Bearish
2014-12-21,Strong Bearish
2014-12-28,Mild Bearish
2015-01-04,Mild Bearish
2015-01-11,Mild Bearish
2015-01-18,Strong Bearish
2015-01-25,Steady Growth
2015-02-01,Steady Growth
2015-02-08,Steady Growth
2015-02-15,Steady Growth
2015-02-22,Steady Growth
2015-03-01,Steady Growth
2015-03-08,Steady Growth
2015-03-15,Steady Growth
2015-03-22,Mild Bearish
2015-03-29,Mild Bearish
2015-04-05,Mild Bearish
2015-04-12,Strong Bearish
2015-04-19,Strong Bearish
2015-04-26,Mild Bearish
2015-05-03,Steady Growth
2015-05-10,Mild Bearish
2015-05-17,Mild Bearish
2015-05-24,Mild Bearish
2015-05-31,Mild Bearish
2015-06-07,Mild Bearish
2015-06-14,Mild Bearish
2015-06-21,Mild Bearish
2015-06-28,Steady Growth
2015-07-05,Mild Bearish
2015-07-12,Mild Bearish
2015-07-19,Steady Growth
2015-07-26,Strong Bullish
2015-08-02,Strong Bullish
2015-08-09,Strong Bullish
2015-08-16,High Volatility
2015-08-23,Steady Growth
2015-08-30,Strong Bullish
2015-09-06,Strong Bearish
2015-09-13,Strong Bearish
2015-09-20,Strong Bullish
2015-09-27,Strong Bullish
2015-10-04,Mild Bearish
2015-10-11,Mild Bearish
2015-10-18,Steady Growth
2015-10-25,Steady Growth
2015-11-01,Steady Growth
2015-11-08,Steady Growth
2015-11-15,Steady Growth
2015-11-22,Steady Growth
2015-11-29,Steady Growth
2015-12-06,Steady Growth
2015-12-13,Mild Bearish
2015-12-20,Mild Bearish
2015-12-27,Mild Bearish
2016-01-03,Steady Growth
2016-01-10,Mild Bearish
2016-01-17,Strong Bearish
2016-01-24,Strong Bearish
2016-01-31,Mild Bearish
2016-02-07,Strong Bullish
2016-02-14,Strong Bearish
2016-02-21,Strong Bearish
2016-02-28,Strong Bearish
2016-03-06,Steady Growth
2016-03-13,Mild Bearish
2016-03-20,Steady Growth
2016-03-27,Steady Growth
2016-04-03,Steady Growth
2016-04-10,Steady Growth
2016-04-17,Steady Growth
2016-04-24,Steady Growth
2016-05-01,Strong Bearish
2016-05-08,Strong Bearish
2016-05-15,Strong Bearish
2016-05-22,Mild Bearish
2016-05-29,Steady Growth
2016-06-05,Steady Growth
2016-06-12,Steady Growth
2016-06-19,Mild Bearish
2016-06-26,Strong Bearish
2016-07-03,Strong Bearish
2016-07-10,Mild Bearish
2016-07-17,Steady Growth
2016-07-24,Steady Growth
2016-07-31,Steady Growth
2016-08-07,Steady Growth
2016-08-14,Steady Growth
2016-08-21,Steady Growth
2016-08-28,Mild Bearish
2016-09-04,Strong Bearish
2016-09-11,Mild Bearish
2016-09-18,Mild Bearish
2016-09-25,Steady Growth
2016-10-02,Mild Bearish
2016-10-09,Mild Bearish
2016-10-16,Mild Bearish
2016-10-23,Steady Growth
2016-10-30,Steady Growth
2016-11-06,Mild Bearish
2016-11-13,Mild Bearish
2016-11-20,Strong Bearish
2016-11-27,Mild Bearish
2016-12-04,Mild Bearish
2016-12-11,Steady Growth
2016-12-18,Steady Growth
2016-12-25,Steady Growth
2017-01-01,Steady Growth
2017-01-08,Mild Bearish
2017-01-15,Steady Growth
2017-01-22,Steady Growth
2017-01-29,Steady Growth
2017-02-05,Mild Bearish
2017-02-12,Mild Bearish
2017-02-19,Mild Bearish
2017-02-26,Steady Growth
2017-03-05,Steady Growth
2017-03-12,Steady Growth
2017-03-19,Steady Growth
2017-03-26,Mild Bearish
2017-04-02,Mild Bearish
2017-04-09,Strong Bearish
2017-04-16,Mild Bearish
2017-04-23,Steady Growth
2017-04-30,Steady Growth
2017-05-07,Steady Growth
2017-05-14,Steady Growth
2017-05-21,Steady Growth
2017-05-28,Steady Growth
2017-06-04,Steady Growth
2017-06-11,Steady Growth
2017-06-18,Mild Bearish
2017-06-25,Mild Bearish
2017-07-02,Strong Bearish
2017-07-09,Strong Bearish
2017-07-16,Mild Bearish
2017-07-23,Steady Growth
2017-07-30,Steady Growth
2017-08-06,Mild Bearish
2017-08-13,Strong Bearish
2017-08-20,Strong Bearish
2017-08-27,Mild Bearish
2017-09-03,Steady Growth
2017-09-10,Mild Bearish
2017-09-17,Mild Bearish
2017-09-24,Mild Bearish
2017-10-01,Steady Growth
2017-10-08,Steady Growth
2017-10-15,Steady Growth
2017-10-22,Steady Growth
2017-10-29,Steady Growth
2017-11-05,Steady Growth
2017-11-12,Steady Growth
2017-11-19,Steady Growth
2017-11-26,Mild Bearish
2017-12-03,Mild Bearish
2017-12-10,Mild Bearish
2017-12-17,Mild Bearish
2017-12-24,Steady Growth
2017-12-31,Steady Growth
2018-01-07,Steady Growth
2018-01-14,Steady Growth
2018-01-21,Steady Growth
2018-01-28,Steady Growth
2018-02-04,Steady Growth
2018-02-11,Strong Bearish
2018-02-18,Strong Bearish
2018-02-25,Strong Bearish
2018-03-04,Strong Bullish
2018-03-11,Strong Bullish
2018-03-18,Steady Growth
2018-03-25,Mild Bearish
2018-04-01,Strong Bearish
2018-04-08,Strong Bearish
2018-04-15,Strong Bearish
2018-04-22,Strong Bullish
2018-04-29,Mild Bearish
2018-05-06,Mild Bearish
2018-05-13,Mild Bearish
2018-05-20,Steady Growth
2018-05-27,Steady Growth
2018-06-03,Mild Bearish
2018-06-10,Steady Growth
2018-06-17,Steady Growth
2018-06-24,Steady Growth
2018-07-01,Mild Bearish
2018-07-08,Mild Bearish
2018-07-15,Mild Bearish
2018-07-22,Steady Growth
2018-07-29,Steady Growth
2018-08-05,Steady Growth
2018-08-12,Steady Growth
2018-08-19,Mild Bearish
2018-08-26,Mild Bearish
2018-09-02,Mild Bearish
2018-09-09,Strong Bearish
2018-09-16,Strong Bearish
2018-09-23,Strong Bearish
2018-09-30,Mild Bearish
2018-10-07,Steady Growth
2018-10-14,Strong Bearish
2018-10-21,Strong Bearish
2018-10-28,Strong Bearish
2018-11-04,Strong Bearish
2018-11-11,Strong Bearish
2018-11-18,Strong Bullish
2018-11-25,Strong Bearish
2018-12-02,Strong Bullish
2018-12-09,Strong Bullish
2018-12-16,Strong Bullish
2018-12-23,Strong Bearish
2018-12-30,Strong Bullish
2019-01-06,Strong Bullish
2019-01-13,Strong Bullish
2019-01-20,Strong Bullish
2019-01-27,Strong Bullish
2019-02-03,Mild Bearish
2019-02-10,Steady Growth
2019-02-17,Steady Growth
2019-02-24,Mild Bearish
2019-03-03,Mild Bearish
2019-03-10,Steady Growth
2019-03-17,Steady Growth
2019-03-24,Steady Growth
2019-03-31,Steady Growth
2019-04-07,Steady Growth
2019-04-14,Mild Bearish
2019-04-21,Steady Growth
2019-04-28,Steady Growth
2019-05-05,Mild Bearish
2019-05-12,Strong Bearish
2019-05-19,Strong Bearish
2019-05-26,Strong Bearish
2019-06-02,Strong Bearish
2019-06-09,Strong Bearish
2019-06-16,Strong Bearish
2019-06-23,Mild Bearish
2019-06-30,Steady Growth
2019-07-07,Steady Growth
2019-07-14,Steady Growth
2019-07-21,Steady Growth
2019-07-28,Steady Growth
2019-08-04,Strong Bullish
2019-08-11,Strong Bullish
2019-08-18,Strong Bullish
2019-08-25,Strong Bullish
2019-09-01,Mild Bearish
2019-09-08,Mild Bearish
2019-09-15,Steady Growth
2019-09-22,Steady Growth
2019-09-29,Steady Growth
2019-10-06,Mild Bearish
2019-10-13,Mild Bearish
2019-10-20,Mild Bearish
2019-10-27,Steady Growth
2019-11-03,Steady Growth
2019-11-10,Steady Growth
2019-11-17,Steady Growth
2019-11-24,Steady Growth
2019-12-01,Mild Bearish
2019-12-08,Mild Bearish
2019-12-15,Steady Growth
2019-12-22,Steady Growth
2019-12-29,Steady Growth
2020-01-05,Mild Bearish
2020-01-12,Steady Growth
2020-01-19,Steady Growth
2020-01-26,Steady Growth
2020-02-02,Steady Growth
2020-02-09,Mild Bearish
2020-02-16,Steady Growth
2020-02-23,Steady Growth
2020-03-01,Strong Bearish
2020-03-08,Strong Bearish
2020-03-15,Strong Bearish
2020-03-22,High Volatility
2020-03-29,High Volatility
2020-04-05,High Volatility
2020-04-12,High Volatility
2020-04-19,Strong Bullish
2020-04-26,Strong Bullish
2020-05-03,Strong Bullish
2020-05-10,Strong Bullish
2020-05-17,Strong Bullish
2020-05-24,Strong Bullish
2020-05-31,Steady Growth
2020-06-07,Steady Growth
2020-06-14,Steady Growth
2020-06-21,Mild Bearish
2020-06-28,Mild Bearish
2020-07-05,Mild Bearish
2020-07-12,Strong Bullish
2020-07-19,Strong Bullish
2020-07-26,Steady Growth
2020-08-02,Mild Bearish
2020-08-09,Mild Bearish
2020-08-16,Mild Bearish
2020-08-23,Steady Growth
2020-08-30,Steady Growth
2020-09-06,Steady Growth
2020-09-13,Strong Bearish
2020-09-20,Strong Bearish
2020-09-27,Strong Bearish
2020-10-04,Strong Bearish
2020-10-11,Mild Bearish
2020-10-18,Steady Growth
2020-10-25,Steady Growth
2020-11-01,Strong Bullish
2020-11-08,Strong Bullish
2020-11-15,Strong Bullish
2020-11-22,Steady Growth
2020-11-29,Strong Bullish
2020-12-06,Steady Growth
2020-12-13,Steady Growth
2020-12-20,Mild Bearish
2020-12-27,Strong Bearish
2021-01-03,Mild Bearish
2021-01-10,Mild Bearish
2021-01-17,Mild Bearish
2021-01-24,Steady Growth
2021-01-31,Strong Bullish
2021-02-07,Strong Bullish
2021-02-14,Strong Bullish
2021-02-21,Steady Growth
2021-02-28,Strong Bullish
2021-03-07,Mild Bearish
2021-03-14,Mild Bearish
2021-03-21,Strong Bullish
2021-03-28,Strong Bullish
2021-04-04,Mild Bearish
2021-04-11,Steady Growth
2021-04-18,Steady Growth
2021-04-25,Steady Growth
2021-05-02,Steady Growth
2021-05-09,Steady Growth
2021-05-16,Mild Bearish
2021-05-23,Mild Bearish
2021-05-30,Steady Growth
2021-06-06,Steady Growth
2021-06-13,Steady Growth
2021-06-20,Steady Growth
2021-06-27,Steady Growth
2021-07-04,Steady Growth
2021-07-11,Steady Growth
2021-07-18,Steady Growth
2021-07-25,Steady Growth
2021-08-01,Steady Growth
2021-08-08,Steady Growth
2021-08-15,Steady Growth
2021-08-22,Mild Bearish
2021-08-29,Steady Growth
2021-09-05,Steady Growth
2021-09-12,Steady Growth
2021-09-19,Steady Growth
2021-09-26,Strong Bearish
2021-10-03,Strong Bearish
2021-10-10,Mild Bearish
2021-10-17,Mild Bearish
2021-10-24,Steady Growth
2021-10-31,Steady Growth
2021-11-07,Steady Growth
2021-11-14,Steady Growth
2021-11-21,Mild Bearish
2021-11-28,Mild Bearish
2021-12-05,Strong Bearish
2021-12-12,Mild Bearish
2021-12-19,Mild Bearish
2021-12-26,Mild Bearish
2022-01-02,Mild Bearish
2022-01-09,Strong Bearish
2022-01-16,Strong Bearish
2022-01-23,Strong Bearish
2022-01-30,Strong Bearish
2022-02-06,Strong Bullish
2022-02-13,Strong Bullish
2022-02-20,Strong Bullish
2022-02-27,Strong Bearish
2022-03-06,Strong Bearish
2022-03-13,Strong Bullish
2022-03-20,Strong Bullish
2022-03-27,Strong Bullish
